year,month,port,volume,unit
2019,1,santos,680926,ton
2019,1,paranagua,575570,ton
2019,1,rio-grande,211440,ton
2019,1,itaqui,0,ton
2019,1,sao-francisco,130399,ton
2019,1,vitoria,135876,ton
2019,1,itacoatiara,111159,ton
2019,1,santarem,224321,ton
2019,1,vila-do-conde,0,ton
2019,1,aratu,131988,ton
2019,1,ilheus,0,ton
2019,1,imbituba,32030,ton
2019,1,santana,0,ton
2019,1,barra-dos-coqueiros,0,ton
2019,2,santos,2794478,ton
2019,2,paranagua,1092517,ton
2019,2,rio-grande,10453,ton
2019,2,itaqui,483896,ton
2019,2,sao-francisco,254846,ton
2019,2,vitoria,339742,ton
2019,2,itacoatiara,326047,ton
2019,2,santarem,535284,ton
2019,2,vila-do-conde,628856,ton
2019,2,aratu,0,ton
2019,2,ilheus,0,ton
2019,2,imbituba,0,ton
2019,2,santana,0,ton
2019,2,barra-dos-coqueiros,0,ton
2019,3,santos,3799353,ton
2019,3,paranagua,1200618,ton
2019,3,rio-grande,277695,ton
2019,3,itaqui,925254,ton
2019,3,sao-francisco,465562,ton
2019,3,vitoria,612215,ton
2019,3,itacoatiara,557322,ton
2019,3,santarem,577878,ton
2019,3,vila-do-conde,840299,ton
2019,3,aratu,330168,ton
2019,3,ilheus,0,ton
2019,3,imbituba,101659,ton
2019,3,santana,0,ton
2019,3,barra-dos-coqueiros,0,ton
2019,4,santos,2719238,ton
2019,4,paranagua,1134219,ton
2019,4,rio-grande,1339593,ton
2019,4,itaqui,890573,ton
2019,4,sao-francisco,522744,ton
2019,4,vitoria,404436,ton
2019,4,itacoatiara,496967,ton
2019,4,santarem,328410,ton
2019,4,vila-do-conde,921431,ton
2019,4,aratu,406534,ton
2019,4,ilheus,0,ton
2019,4,imbituba,92143,ton
2019,4,santana,0,ton
2019,4,barra-dos-coqueiros,0,ton
2019,5,santos,2439714,ton
2019,5,paranagua,616284,ton
2019,5,rio-grande,1695366,ton
2019,5,itaqui,1188949,ton
2019,5,sao-francisco,303645,ton
2019,5,vitoria,391979,ton
2019,5,itacoatiara,448617,ton
2019,5,santarem,513277,ton
2019,5,vila-do-conde,876274,ton
2019,5,aratu,378982,ton
2019,5,ilheus,0,ton
2019,5,imbituba,31709,ton
2019,5,santana,0,ton
2019,5,barra-dos-coqueiros,0,ton
2019,6,santos,1997532,ton
2019,6,paranagua,1150781,ton
2019,6,rio-grande,1419748,ton
2019,6,itaqui,1267178,ton
2019,6,sao-francisco,471653,ton
2019,6,vitoria,310649,ton
2019,6,itacoatiara,299200,ton
2019,6,santarem,400390,ton
2019,6,vila-do-conde,968571,ton
2019,6,aratu,328644,ton
2019,6,ilheus,0,ton
2019,6,imbituba,102072,ton
2019,6,santana,0,ton
2019,6,barra-dos-coqueiros,0,ton
2019,7,santos,1049529,ton
2019,7,paranagua,1046465,ton
2019,7,rio-grande,1358114,ton
2019,7,itaqui,952910,ton
2019,7,sao-francisco,328449,ton
2019,7,vitoria,277243,ton
2019,7,itacoatiara,142837,ton
2019,7,santarem,82741,ton
2019,7,vila-do-conde,386230,ton
2019,7,aratu,309014,ton
2019,7,ilheus,0,ton
2019,7,imbituba,70977,ton
2019,7,santana,0,ton
2019,7,barra-dos-coqueiros,0,ton
2019,8,santos,307919,ton
2019,8,paranagua,984766,ton
2019,8,rio-grande,1326046,ton
2019,8,itaqui,806982,ton
2019,8,sao-francisco,267882,ton
2019,8,vitoria,327827,ton
2019,8,itacoatiara,136775,ton
2019,8,santarem,48703,ton
2019,8,vila-do-conde,330133,ton
2019,8,aratu,414563,ton
2019,8,ilheus,0,ton
2019,8,imbituba,100493,ton
2019,8,santana,0,ton
2019,8,barra-dos-coqueiros,0,ton
2019,9,santos,73455,ton
2019,9,paranagua,640559,ton
2019,9,rio-grande,2068403,ton
2019,9,itaqui,661274,ton
2019,9,sao-francisco,422317,ton
2019,9,vitoria,299512,ton
2019,9,itacoatiara,61008,ton
2019,9,santarem,0,ton
2019,9,vila-do-conde,70965,ton
2019,9,aratu,406806,ton
2019,9,ilheus,0,ton
2019,9,imbituba,0,ton
2019,9,santana,28300,ton
2019,9,barra-dos-coqueiros,0,ton
2019,10,santos,400770,ton
2019,10,paranagua,1191891,ton
2019,10,rio-grande,1490622,ton
2019,10,itaqui,411940,ton
2019,10,sao-francisco,511528,ton
2019,10,vitoria,297603,ton
2019,10,itacoatiara,79572,ton
2019,10,santarem,0,ton
2019,10,vila-do-conde,63842,ton
2019,10,aratu,277466,ton
2019,10,ilheus,0,ton
2019,10,imbituba,71008,ton
2019,10,santana,27008,ton
2019,10,barra-dos-coqueiros,0,ton
2019,11,santos,342442,ton
2019,11,paranagua,918618,ton
2019,11,rio-grande,1405390,ton
2019,11,itaqui,381087,ton
2019,11,sao-francisco,337664,ton
2019,11,vitoria,285274,ton
2019,11,itacoatiara,111893,ton
2019,11,santarem,57857,ton
2019,11,vila-do-conde,31500,ton
2019,11,aratu,205129,ton
2019,11,ilheus,0,ton
